sys_id,kb_knowledge_base,kb_category,short_description,text,keywords,workflow_state,author
,"Technical Knowledge Base","Hardware Troubleshooting","How to Troubleshoot Laptop Boot Failure","This guide provides step-by-step instructions for troubleshooting laptops that fail to boot properly. Check power connection, perform hard reset, test with external monitor, run diagnostics, and check for system updates. If the issue persists, replace hardware components.",boot failure, laptop troubleshooting, hard reset,published,System Administrator
,"Technical Knowledge Base","Hardware Troubleshooting","Printer Connection Troubleshooting Guide","Common issues and solutions for printer connectivity problems. Verify USB or network cable connections, check printer power status, ensure correct drivers are installed, restart print spooler service, and test with a different cable.","printer, connectivity, printing issues, driver","published","System Administrator"
,"Technical Knowledge Base","Software Troubleshooting","Outlook Email Sync Fix","Resolution steps for Outlook not syncing emails. Clear Outlook cache, recreate mail profile, check server settings, disable add-ins one by one, repair Office installation, and run Outlook in safe mode to isolate issues.","outlook, email, sync, cache, OST file","published","System Administrator"
,"Technical Knowledge Base","Software Troubleshooting","ERP System Login Error Resolution","Step-by-step guide to resolve ERP login errors. Clear browser cache, check network connectivity, verify credentials, ensure account is not locked, check system maintenance window, and coordinate with infrastructure team if needed.","ERP login, authentication, access denied","published","System Administrator"
,"Technical Knowledge Base","Network Troubleshooting","VPN Connection Issue Resolution","Comprehensive troubleshooting guide for VPN connection problems including authentication failures and timeout issues. Check internet connectivity, verify VPN client configuration, flush DNS cache, test alternate VPN gateway, and review firewall settings.","VPN, remote access, connection timeout, authentication","published","System Administrator"
,"Employee Knowledge Base","Frequently Asked Questions","How to Request Annual Leave","To request annual leave, log into the Employee Portal, navigate to Time Off section, select Annual Leave from the dropdown, enter your desired dates, add a brief reason, and submit. Your manager will receive a notification and approve within 2 business days. For urgent requests, contact HR directly.","annual leave, vacation, time off, PTO","published","System Administrator"
,"Employee Knowledge Base","Frequently Asked Questions","Password Reset Instructions","Follow these steps to reset your password. Visit the company portal login page, click Forgot Password, enter your employee email address, check your inbox for the reset link, create a strong password with at least 8 characters including uppercase, numbers, and special characters.","password, reset, login, credentials","published","System Administrator"
,"Employee Knowledge Base","General Information","Office Location and Facilities","Our headquarters is located at 123 Business Avenue, Suite 100. The office operates from 8 AM to 6 PM Monday through Friday. Facilities include a cafeteria on the 2nd floor, fitness center in the basement, and free parking for all employees with valid badges.","office, location, facilities, parking, cafeteria","published","System Administrator"
,"Employee Knowledge Base","Company Policies","Employee Code of Conduct","All employees are expected to maintain professional standards, protect company confidential information, avoid conflicts of interest, comply with all applicable laws, report misconduct, and treat colleagues with respect. Violations may result in disciplinary action.","code of conduct, ethics, policy","published","System Administrator"
,"Employee Knowledge Base","Company Policies","Remote Work Policy","Employees may work remotely up to 3 days per week with manager approval. Remote workers must maintain a secure internet connection, be available during core hours 9 AM to 3 PM, attend scheduled meetings in person when required, and ensure productivity standards are met.","remote work, WFH, telecommuting","published","System Administrator"
